GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
84309,10.27,10.43,10.78,10.54,11.43,11.3
124401,7.418,7.173,8.352,7.885,8.136,7.104
146562,1.907,2.213,1.621,1.691,2.53,1.772
26048,3.883,4.042,4.246,3.731,4.067,4.062
124404,0.9766,1.057,1.318,0.3788,0.4801,0.5282
440335,2.832,3.295,2.589,2.555,2.66,2.865
79641,58.44,61.83,52.62,81.31,92.78,96.51
84656,31.89,34.5,30.45,28.97,30.32,29.52
29855,16.4,15.96,14.8,16.4,16,14.68
5493,1.675,1.57,1.823,3.705,2.225,2.132
105371064,0.07016,0.06497,0.04624,0.1098,0.04512,0.05655
9717,1.669,1.878,1.057,2.113,2.709,1.966
51172,2.131,2.182,2.416,2.431,2.394,2.383
100507589,1.033,1.256,1.066,0.9854,1.526,0.9778
146556,0.4266,0.305,0.5109,0.3234,0.4339,0.2771
56052,5.83,5.609,4.675,5.631,5.641,5.611
196483,5.408,5.043,5.119,5.457,4.696,5.195
107984828,0.05775,0,0.03689,0.1085,0.12,0.04115
105371067,0.02264,0,0,0.1063,0.09408,0.02017
105371066,0,0,0,0,0,0
54715,0.6214,0.5384,1.883,0.3792,0.4986,0.3796
101926950,0,0,0,0,0,0
102465867,0,0,0,0,0,0
105371068,0,0.002847,0.007949,0,0,0.002217
105371069,0,0,0.1052,0,0,0
105371070,0,0,0.0866,0,0.04225,0
105371071,0,0,0,0,0,0
105371072,0,0,0,0,0,0
283953,0,0,0.8867,0.02444,0.01082,0.0371
79091,2.292,2.116,2.969,2.013,2.192,1.873
18,19.98,19.94,26.26,16.92,20,23.49
107984840,0.1943,0.1112,0.2069,0.05704,0.1514,0.303
25880,8.687,8.017,9.027,8.292,7.67,8.208
5373,7.635,7.954,8.037,10.77,8.847,6.948
100130283,4.365,4.079,7.179,5.759,5.411,5.14
23589,5.212,4.529,11.11,6.782,6.637,6.411
101929989,0.05692,0,0,0.08019,0.05914,0.01014
7874,27.61,26.29,25.22,22,22.75,26.08
105371074,0.01456,0.06665,0.03101,0.0513,0.01513,0.0519
29035,7.622,7.261,7.527,6.325,6.38,7.335
101927026,0.06101,0.1359,0.02735,0.1809,0.2235,0.1373
105371075,0.02487,0.1138,0.02648,0,0.02583,0
101927009,0.1545,0.1638,0.08828,0.4159,0.4033,0.3593
104355218,0,0,0,0,0,0
104266959,0,0.05099,0,0,0,0.03971
